template_name,subject,body,sms_body
signature_day_4,Let’s Explain the Signature Step of Your Claim,"Hi {{firstName}},

We noticed you’ve reached the signature step of your car finance claim and wanted to explain exactly what you're signing for.

Your single electronic signature covers three essential aspects of your claim:

🔍 Soft Credit Check

- Instantly locate your car finance agreements since 2007.

- Completely safe, leaves no mark on your credit score, and takes just 15 seconds.

✅ Letter of Authority

- Used only if we need to request documents directly from a lender.

- Ensures we can retrieve proof of agreements securely and efficiently.

💼 No Win No Fee Agreement

 - Allows your solicitor to start working on your case immediately, with no upfront costs.

- You only pay if your claim is successful, ensuring there’s no financial risk to you.


The process is secure, simple, and designed to get your claim started quickly.

Ready to move forward? Complete your signature here: 

[Get Started] 

Have questions? Just reply to this email—we’re happy to help!",
signature_day_7,"{{firstName}}, Your Claim is Waiting for You ✍️",`,"Hi [name],

Each claim you make could be worth £1000s and we locate all your agreements in under 20 seconds!

Finish your claim here 👇
[Portal Link]
"
signature_day_10,"No win, no fee - How it works 💼","Hi {{firstName}},

We get asked a lot of questions about how no win, no fee agreements work. So we’ve broken it down in this email for you!

The main purpose of a no win, no fee agreement is to shield you from the initial legal costs. Rather than legal teams charging you by the hour, they agree to take a percentage of your refund if you are successful.

If your claim is unsuccessful, you won’t pay a penny, making the claim risk-free. The only time you will be asked to pay fees is if you decide to cancel the claim after the solicitor has already taken on work.

The fee structure for all claims has now been fixed across the industry, by both the Financial Conduct Authority and the Solicitors Regulation Authority.

[fee Table]

If you want to check where you're up to, you can enter the portal below:👉 [Portal Link]

If you want to speak to someone, let us know what time suits and we'll give you a call! 📞",
signature_day_14,"Hey {{firstName}}, you’re still not fully set up ✍️","Hi {{firstName}},

Two weeks ago, you started your Car Finance Claim with us but didn’t manage to complete it. Here’s what’s missing:

✅ A signature for the letter of authority and no win no fee agreement

This step allows your solicitor to begin working on your claim immediately. If you have any questions, feel free to call or WhatsApp us. Our team is always happy to help!

📲 Sign here to complete your claim: [Portal Link]",
signature_day_21," {{firstName}}, Here’s Exactly How Your Car Finance Claim Works 💡","Hi {{firstName}},

We often get asked to explain how the car finance claim process works, so here’s a quick breakdown for you:

1️⃣ We run a quick credit check (this doesn’t affect your credit score!)
2️⃣ We request agreements and statements directly from your lender to save you the hassle.
3️⃣ We verify your claim to make sure everything is in order.
4️⃣ Your claim is submitted to the lender.
5️⃣ You receive your refund! 💸

You’re almost there—just one final step! ✍️ Sign here so we can get started: [Portal Link]

Have any questions? Reply to this email, and we’ll be happy to guide you.","""Hi {{firstName}},

Here’s how your car finance claim works: 

quick credit check ✅, 
we handle your lender 📄, 
and you get your refund 💸. 

Sign here: [Link]""	"
signature_follow_up,"{{firstName}}, We’re Ready When You Are 🚀","Don’t miss out on your share of thousands for each agreement you had. Here’s how it works:

✅ A signature for the letter of authority and no win no fee agreement lets us get started.

📄 We handle all the paperwork, saving you the headache.

💸 You receive your refund if your claim is successful.

All you need to do is provide your details on our secure portal below, and we’ll take care of the rest!

The fee structure for all claims is fixed across the industry, regulated by the Financial Conduct Authority and Solicitors Regulation Authority:

[fee table]

📲 Don’t forget to finish your claim setup so we can get your money back: [Portal Link]

Have questions? Reply to this email, and our team will be happy to assist you!","Hi {{firstName}}, 

It’s been 28 days—would you like us to cancel your car finance claim? 

Let us know"
id_5_mins,"{{firstName}}, One Last Step to Keep Your Claim Moving ✍️","""Hi {{firstName}},

Thank you for signing! We’ve located your car finance agreements and are ready to proceed, but we still need one final thing from you:

✅ A valid ID (passport or driver’s license, in date)

Uploading your ID allows us to verify your claim and ensures we can work directly with your lenders to recover what you’re owed. It’s quick and secure!

📲 Upload your ID here: [Portal Link]

Have questions? Reply to this email, and our team will be happy to assist!""","Hi {{firstName}},

We’ve found your agreements! Upload your ID (passport or driver’s license) to proceed

 [Link]"
id_day_1,"{{firstName}}, Don’t Let Your Claim Stall 🚗","Hi {{firstName}},

We’ve located your agreements, and your claim is ready to proceed, but we’re waiting for your ID to verify everything.

Why is this important?

✅ Verifying your ID lets us request documents directly from your lenders.

🔍 You can also add any missing lenders, and we’ll handle those for you too.

It’s quick and secure—upload your ID here: [Portal Link]

💬 Need help? Reply to this email, and we’ll assist you right away!","Hi {{firstName}},

Don’t let your claim STALL! 

Upload your ID (passport or driver’s license) here: 

[Link]"
id_day_3,"{{firstName}}, Don’t Let Your Claim Wait ⏳","""Hi {{firstName}},

We’re excited to help you with your car finance claim, but we can’t move forward without your 📸 Photo ID. 

Did you know?
✅ Your Photo ID allows us to securely request your finance documents from lenders if needed.
🔒 It also ensures your ID is verified for secure claim processing.

Upload your Photo ID here to continue: 

[Complete My Claim]

💬 Have questions? Just reply to this email!""","Hi {{firstName}},

Your claim can’t start without your Photo ID. It only takes a minute - upload here: [Link]"
id_day_4,Let’s Break Down the ID Step of Your Claim 🛠️,"Hi {{firstName}},

We noticed you’ve reached the ID step of your car finance claim, and we wanted to explain why we need your Photo ID to move forward.

Your ID serves two key purposes:
🛡️ Secure Document Requests
- Your ID allows us to securely request documents directly from lenders when needed.

✅ ID Verification for Solicitors
- Our solicitors require your ID to verify your identity and ensure everything is handled properly throughout your claim.

The process is quick, secure, and essential to moving forward with your claim.

Ready to proceed? Upload your Photo ID here:

[Upload My Photo ID]

If you have any questions, simply reply to this email—we’re here to assist you!",
id_day_7,"{{firstName}}, Let’s Finalise Your Claim ✨","""Hi {{firstName}},

We’re ready to finalize your car finance claim! Here’s what happens next:

1️⃣ Upload your ID (passport or driver’s license).
2️⃣ We verify your details and ensure everything is accurate.
3️⃣ Missing lenders? Add them after uploading, and we’ll request documents directly on your behalf.

📲 Upload your ID now to proceed: [Portal Link]

Need assistance? Reply to this email, and we’ll be happy to help!""","Hi [name],

Each claim you make could be worth £1000s and we locate all your agreements in under 20 seconds!

Finish your claim here 👇
[Portal Link]
"
id_day_10,"No win, no fee - How it works 💼","Hi [name], 

We get asked a lot of questions about how no win, no fee agreements work. So we’ve broken it down in this email for you! 

The main purpose of a no win, no fee agreement is to shield you from the initial legal costs. Rather than legal teams charging you by the hour, they agree to take a percentage of your refund if you are successful. 

If your claim is unsuccessful, you won’t pay a penny, making the claim risk-free. The only time you will be asked to pay fees is if you decide to cancel the claim after the solicitor has already taken on work.

The fee structure for all claims has now been fixed across the industry, by both the Financial Conduct Authority and the Solicitors Regulation Authority. 

| Lower redress limit | Higher redress limit  | % of charge  | Maximum fee |
| --- | --- | --- | --- |
| £1 | £1,499 | 30% | £420 |
| £1,500 | £9,999 | 28% | £2,500 |
| £10,000 | £24,999 | 25% | £5,000 |
| £25,000 | £49,999 | 20% | £7,500 |
| £50,000 |  | 15%  | £10,000 |

If you want to check where you're up to, you can enter the portal below:
[portal link to where they’re up to]

We’re here to help!",
id_day_14,"{{firstName}}, Your Claim Needs Your ID 📸","Hi {{firstName}},

It’s been two weeks since we found your agreements, and we’re still waiting for your ID to verify your claim. Without it, we can’t move forward.

✅ Why upload your ID?

- Verifies your details and ensures accuracy.

- Lets us request any missing agreements for you.

📲 Upload your ID now: [Portal Link]

Need help? Just reply to this email—we’re here for you!","Hi {{firstName}},

We still need your ID to verify your claim. Upload it here: 

[Link]"
id_day_21,"{{firstName}}, Here’s Exactly How Your Car Finance Claim Works 💡","We often get asked to explain how the car finance claim process works, so here’s a quick breakdown for you:

1️⃣ We run a quick credit check (this doesn’t affect your credit score!)
2️⃣ We request agreements and statements directly from your lender to save you the hassle.
3️⃣ We verify your claim to make sure everything is in order.
4️⃣ Your claim is submitted to the lender.
5️⃣ You receive your refund! 💸

You’re almost there—just one final step! ✍️ Sign here so we can get started: [Portal Link]

Have any questions? Reply to this email, and we’ll be happy to guide you.","Hey [name],

You never finished setting up your car finance claim. 

Please let us know if you have any questions? "
id_follow,"{{firstName}}, This is Your Final Reminder to Upload Your ID ✍️","Hi {{firstName}},

This is your final chance to upload your ID and proceed with your car finance claim. Without this step, we won’t be able to move forward.

✅ Upload a valid passport or driver’s license (in date).

📲 Upload your ID now to continue: [Portal Link]

Have questions? Reply to this email, and our team will assist you.","Hi {{firstName}},

Last chance to upload your ID! ⏰ 

Complete it here to keep your claim moving: [Link]"
onboarded_5_mins,Your Car Finance Claim is Now in Progress 🚀,"Dear {{firstName}},

Great news! You’ve successfully completed your onboarding, and we’ve now officially started working on your car finance claim.

Here’s what happens next:
1️⃣ We have requested your agreements and statements from your lender.
2️⃣ Once received, our team will review them for any Hidden Commissions (HC) or Discretionary Commission Arrangements (DCA) that could mean you were overcharged.
3️⃣ We will keep you updated as your claim progresses.

The FCA’s ongoing investigation into car finance means that lenders are currently paused from issuing final responses until December 2025. However, by submitting your claim now, you are ensuring that your case is already in line for review when the process resumes.

You can read more about the FCA's review here:https://www.fca.org.uk/consumers/car-finance-complaints

We’ll keep you informed every step of the way, and if you have any questions, feel free to reply to this email. You can also check your claim’s progress anytime through our app 

[Track My Claims].

Best regards,
Resolve My Claim","Hi {{firstName}},

Great news—your claim is now in progress! 🚀 

We’ve requested your documents and will update you as things move forward. You can also check your progress anytime on our app

[App Link]"
onboarded_day_1,"{{firstName}}, How Was Your Experience So Far? ⭐","Dear {{firstName}},

Now that your claim is in progress, we’d love to hear your feedback! Reviews from customers like you help us improve our service and assist more people in claiming back what they’re owed.

📝 Leave us a quick review here: [Review Link]

Thank you for trusting Resolve My Claim. If you have any questions, feel free to reply to this email!

Best regards,
Resolve My Claim","Hi {{firstName}},

We’d love to hear about your experience! ⭐ 

Leave us a quick review here: [Review Link]. 

Also, refer a friend and earn a £20 Amazon voucher for each successful claim: [Referral Link]"
onboarded_day_3,Get £20 for referring a friend,"Dear {{firstName}},

Do you know other people who have had a car on finance since 2007? 

Refer them to us and we'll give you a £20 Amazon voucher for each successful claim!

🔗 Here's your unique link: [Referral Link]

You can send it to as many people as you like. 

Best regards,
Resolve My Claim
","Hi {{firstName}},

Do you know other people who have had a car on finance since 2007? 

Refer them to us and we'll give you a £20 Amazon voucher for each successful claim!

🔗 Here's your unique link: [Referral Link]

Go on, send your friends the link today and help them claim back thousands too. 

"
more_info_request,{{lender}} Has Requested More Information,"Hi {{firstName}},

We’re making good progress on your car finance claim, but your lender has come back with a request for some additional information before they can move forward.

👉 To keep things moving, please log into your portal and provide the details we’ve asked for.

📲 [Complete My Claim]

If you have any questions or need help, just reply to this email — we’re here for you!

Best regards,
Resolve My Claim","Hi {{firstName}}, 

{{lender}} needs more info to move forward with your claim. 

Please use the link to provide your information.

[Portal Link]"
more_info_reminder,"Reminder: {{lender}} Still Needs More Information

","Dear {{firstName}},

Just a quick reminder — {{lender}} has requested some additional information to process your car finance claim.

We can’t move forward until this is complete. It should only take a minute.

📲 [Complete My Claim]

Need help? Just reply — we’re here for you.


Best regards,
Resolve My Claim","Hi {{firstName}},

{{lender}} still needs more info to process your claim. ⏰

Complete it here: [Portal Link]"
